RUN,NB.bcl,Read.Length,NB.sample
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231218_A00514_1643_BHNJFHDMXY/,872,101,104
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231220_A00514_1646_AHVL7TDRX3/,236,51,22
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231220_A00514_1647_BHVL5KDRX3/,134,51,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231221_A00514_1648_AHVJHLDRX3/,640,150,7
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231221_A00514_1649_BHVFKYDRX3/,436,101,40
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240102_A00514_1657_BHT2T3DMXY/,888,101,2688
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240102_A00514_1658_AHVCV7DSX7/,1104,28,22
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240104_A00514_1659_AHNH2TDRX3/,552,41,120
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240108_A00514_1662_AHW22CDRX3/,276,64,64
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240108_A00514_1663_BHW5NNDRX3/,276,131,144
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240109_A00514_1664_BHNYW7DMXY/,872,101,97
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240110_A00514_1666_AHWMTHDSX7/,1104,28,24
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240110_A00514_1667_BHVWY7DRX3/,118,51,38
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240117_A00514_1671_AHNH5FDRX3/,1272,151,4
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240118_A00514_1672_BHT77VDMXY/,268,51,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240118_A00514_1673_AHW7MTDRX3/,436,101,34
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240122_A00514_1676_AHWMKFDRX3/,872,101,17
